"device name";"device_type";"ip_address";"tg_and_topic_name";"bot_name";"mqtt_broker";"room";"tg_id";"num relays";"pulsetime_sec";"mac";"tg_admin_users";"Archer_MR200";"Tenda_N300";"dnsMasq";"updated_by";"description";"isAlive"
"2021-10-26 15:00:08";"application";\N;"LnBeveBot_Telegram";"LnBeveBot";\N;\N;"1637484875";"0";\N;"2021-10-26 15:00:08";"nLoreto";\N;\N;\N;\N;\N;\N
"2021-10-26 14:58:24";"application";\N;"LnBot_Mqtt";"LnBot";\N;\N;"-450805511";"0";\N;"2021-10-26 14:58:24";"nLoreto";\N;\N;\N;\N;\N;\N
"2021-10-26 14:58:18";"application";\N;"LnBot_Telegram";"LnBot";\N;\N;"-545131594";"0";\N;"2021-10-26 14:58:18";"nLoreto";\N;\N;\N;\N;\N;\N
"2021-10-26 14:58:09";"application";\N;"LnCasettaBot_Mqtt";"LnCasettaBot";\N;\N;"-584205814";"0";\N;"2021-10-26 14:58:09";"nLoreto";\N;\N;\N;\N;\N;\N
"LnCasettaBot_Telegram";"application";\N;"LnCasettaBot_Telegram";"LnCasettaBot";\N;\N;"-453685059";"0";\N;"2021-10-26 14:57:44";"nLoreto";\N;\N;\N;\N;\N;\N
"LoadSuperiore";"tasmota";"192.168.1.55";"LoadSuperiore";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"vano pompe";"-381886065";"1";"120";"DC:4F:22:93:17:93";"nLoreto";"55";"55";"55";"device_discovery";"Load_Superiore";"2021-12-19 10:15:55"
"Mqtt-Client";"application";\N;"Mqtt-Client";"LnBot";\N;\N;"-797744995";\N;\N;"2021-11-21 16:07:33";"nLoreto";\N;\N;\N;\N;\N;\N
"PressControl";"tasmota";"192.168.1.52";"PressControl";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"vano pompe";"-451564560";"1";"1800";"60:01:94:C2:40:01";"nLoreto";"52";"52";"52";"device_discovery";"Press_Control";"2021-12-19 10:15:55"
"Scaldabagno";"tasmota";"192.168.1.58";"Scaldabagno";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"quadro elettrico";"-544619118";"1";"1800";"DC:4F:22:D5:95:9F";"nLoreto";"58";"58";"58";"device_discovery";"Scaldabagno";"2021-12-19 10:15:56"
"Scaldasonno";"shelly";"192.168.1.82";"Scaldasonno";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"camera letto";"-585268553";"1";"0";"8C:AA:B5:61:4B:69";"nLoreto";"82";"82";"82";"device_discovery";"Scaldasonno";"2021-12-19 10:15:58"
"ShellyLetto";"shelly";"192.168.1.81";"ShellyLetto";"LnBot";"lnmqtt.duckdns.org:1883";"camera letto";"-568414730";"1";"0";"8C:AA:B5:55:4C:EB";"nLoreto";"81";"81";"81";"device_discovery";"Shelly_Letto";"2021-12-19 10:15:58"
"TasmotaAvail_001";"tasmota";\N;"TasmotaAvail_001";"LnBot";"lnmqtt.duckdns.org:1883";\N;\N;\N;"0";"C8:2B:96:4C:0D:96";\N;\N;\N;\N;"LnPi31";"TasmotaAvail_001";"2021-12-06 10:19:08"
"TasmotaAvail_002";"tasmota";\N;"TasmotaAvail_002";"LnBot";"lnmqtt.duckdns.org:1883";\N;\N;\N;"0";"C8:2B:96:4C:0E:72";\N;\N;\N;\N;"LnPi31";"TasmotaAvail_002";"2021-12-06 10:24:36"
"TasmotaAvail_003";"tasmota";\N;"TasmotaAvail_003";"LnBot";"lnmqtt.duckdns.org:1883";\N;\N;\N;"0";"D8:F1:5B:8D:4D:BE";\N;\N;\N;\N;"LnPi31";"TasmotaAvail_003";"2021-12-06 10:29:20"
"TavoloLavoro";"tasmota";"192.168.1.53";"TavoloLavoro";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"pozzetto tavolo lavoro";"-453816467";"1";"0";"C8:2B:96:4F:D3:67";"nLoreto";"53";"53";"53";"device_discovery";"TavoloLavoro";"2021-12-19 10:15:55"
"TavoloLavoroOld";"tasmota";"192.168.1.51";"TavoloLavoroOld";"LnBot";"lnmqtt.duckdns.org:1883";"vano pompe";"-478553650";"1";"0";"DC:4F:22:92:FF:69";"nLoreto";"51";"51";"51";"device_discovery";"TavoloLavoroOld";"2021-12-19 10:15:55"
"TelegramBot";"application";\N;"TelegramBot";"LnCasettaBot";\N;\N;\N;\N;\N;"2021-12-25 09:05:42";\N;\N;\N;\N;\N;\N;\N
"ThermorossiControl";"tasmota";"192.168.1.65";"ThermorossiControl";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"Cucina";"-696007625";"1";"0";"C8:2B:96:4F:D5:51";"nLoreto";"65";\N;"65";"device_discovery";"ThermorossiControl";"2021-12-19 10:15:57"
"ThermorossiPower";"tasmota";"192.168.1.66";"ThermorossiPower";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"Cucina";"-602501682";"1";"0";"BC:DD:C2:85:AE:EB";"nLoreto";"66";\N;"66";"device_discovery";"ThermorossiPower";"2021-12-19 10:15:57"
"VallecupolaPresepe";"tasmota";\N;"VCPresepe";"LnCasettaBot";"broker.hivemq.com:1883";"Vallecupola";"-708825595";"1";"0";"F4:CF:A2:00:84:50";"nLoreto";\N;\N;\N;"LnPi31";"PresepeVallecupola";"2021-12-06 17:37:52"
"VallecupolaPresepeGenerale";"tasmota";"192.168.1.61";"VCPresepeGenerale";"LnCasettaBot";"broker.hivemq.com:1883";"Vallecupola";"-660190510";"1";"0";"BC:DD:C2:85:AB:47";"nLoreto";"61";"61";"61";"device_discovery";"SWA1_03";"2021-12-19 10:15:56"
"VentilatoreCamera";"tasmota";"192.168.1.60";"VentilatoreCamera";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"camera letto";"-619748665";"1";"0";"BC:DD:C2:85:2E:00";"nLoreto";"60";"60";"60";"device_discovery";"Ventolatore per riscaldamento";"2021-12-19 10:15:56"
"VescoviControl";"tasmota";"192.168.1.63";"VescoviControl";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"Vano Caldaia";"-750594993";"1";"0";"DC:4F:22:D3:B3:2F";"nLoreto";"63";\N;"63";"device_discovery";"stufa_Vesscovi_Start";"2021-12-19 10:15:57"
"VescoviPower";"tasmota";"192.168.1.62";"VescoviPower";"LnCasettaBot";"lnmqtt.duckdns.org:1883";"Vano Caldaia";"-607801595";"1";"0";"DC:4F:22:D5:6B:69";"nLoreto";"62";"62";"62";"device_discovery";"Stufa_Vescovi_Power";"2021-12-19 10:15:57"
